"uid","Name (greeting)","Name (survey)","E-mail","elso_szintu_szegmentacio_a","elso_szintu_szegmentacio_b","Department","Hierarchy level","mukodesi_terulet","iranyitasi_szint","Questionnaire language"
"resp1823","resp1823","resp1823","resp1823@example.com","gazdálkodás","GAZDASÁGI VIGH","Forrásallokációs Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1824","resp1824","resp1824","resp1824@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1825","resp1825","resp1825","resp1825@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Üzleti irányítás","Hungarian (formal)"
"resp1826","resp1826","resp1826","resp1826@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1827","resp1827","resp1827","resp1827@example.com","gazdálkodás","GAZDASÁGI VIGH","Kontrolling Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1828","resp1828","resp1828","resp1828@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1829","resp1829","resp1829","resp1829@example.com","üzlet","VÁLLALATI VIGH","Kiemelt Ügyfelek Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1830","resp1830","resp1830","resp1830@example.com","üzlet","VÁLLALATI VIGH","Kiemelt Ügyfelek Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1831","resp1831","resp1831","resp1831@example.com","gazdálkodás","GAZDASÁGI VIGH","Beszerzési Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1832","resp1832","resp1832","resp1832@example.com","HR","Humánerőforrás FŐIG","Humánerőforrás Főig. közvetlen","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1833","resp1833","resp1833","resp1833@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1834","resp1834","resp1834","resp1834@example.com","üzlet","VÁLLALATI VIGH","Kiemelt Ügyfelek Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1835","resp1835","resp1835","resp1835@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1836","resp1836","resp1836","resp1836@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1837","resp1837","resp1837","resp1837@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","keleti régió","Szolgáltatás","Hungarian (formal)"
"resp1838","resp1838","resp1838","resp1838@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1839","resp1839","resp1839","resp1839@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1840","resp1840","resp1840","resp1840@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1841","resp1841","resp1841","resp1841@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","MM","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1842","resp1842","resp1842","resp1842@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp1843","resp1843","resp1843","resp1843@example.com","üzlet","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1844","resp1844","resp1844","resp1844@example.com","üzlet","-","Marketingkommunikációs Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1845","resp1845","resp1845","resp1845@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1846","resp1846","resp1846","resp1846@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1847","resp1847","resp1847","resp1847@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1848","resp1848","resp1848","resp1848@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","MM","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1849","resp1849","resp1849","resp1849@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1850","resp1850","resp1850","resp1850@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1851","resp1851","resp1851","resp1851@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","E","nyugati régió","Üzleti irányítás","Hungarian (formal)"
"resp1852","resp1852","resp1852","resp1852@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1853","resp1853","resp1853","resp1853@example.com","gazdálkodás","GAZDASÁGI VIGH","Pénzügyi és Számviteli Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1854","resp1854","resp1854","resp1854@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp1855","resp1855","resp1855","resp1855@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1856","resp1856","resp1856","resp1856@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1857","resp1857","resp1857","resp1857@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1858","resp1858","resp1858","resp1858@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1859","resp1859","resp1859","resp1859@example.com","törzskari","Törzskari FŐIG","Adatmenedzsment és Dok. Kp.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1860","resp1860","resp1860","resp1860@example.com","ellenőrzés","Ellenőrzési IG","Működésellenőrzési Kp.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1861","resp1861","resp1861","resp1861@example.com","HR","Humánerőforrás FŐIG","Humánerőforrás Főig. közvetlen","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1862","resp1862","resp1862","resp1862@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1863","resp1863","resp1863","resp1863@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1864","resp1864","resp1864","resp1864@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1865","resp1865","resp1865","resp1865@example.com","üzlet","VÁLLALATI VIGH","Levél Termékmenedzsment Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1866","resp1866","resp1866","resp1866@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","MM","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1867","resp1867","resp1867","resp1867@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1868","resp1868","resp1868","resp1868@example.com","ellenőrzés","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Üzleti irányítás","Hungarian (formal)"
"resp1869","resp1869","resp1869","resp1869@example.com","üzlet","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1870","resp1870","resp1870","resp1870@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1871","resp1871","resp1871","resp1871@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1872","resp1872","resp1872","resp1872@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1873","resp1873","resp1873","resp1873@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1874","resp1874","resp1874","resp1874@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1875","resp1875","resp1875","resp1875@example.com","üzlet","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1876","resp1876","resp1876","resp1876@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1877","resp1877","resp1877","resp1877@example.com","gazdálkodás","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1878","resp1878","resp1878","resp1878@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1879","resp1879","resp1879","resp1879@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","MM","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1880","resp1880","resp1880","resp1880@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1881","resp1881","resp1881","resp1881@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1882","resp1882","resp1882","resp1882@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Üzleti irányítás","Hungarian (formal)"
"resp1883","resp1883","resp1883","resp1883@example.com","gazdálkodás","GAZDASÁGI VIGH","Pénzügyi és Számviteli Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1884","resp1884","resp1884","resp1884@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1885","resp1885","resp1885","resp1885@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1886","resp1886","resp1886","resp1886@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","nyugati régió","Szolgáltatás","Hungarian (formal)"
"resp1887","resp1887","resp1887","resp1887@example.com","gazdálkodás","GAZDASÁGI VIGH","Pénzügyi és Számviteli Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1888","resp1888","resp1888","resp1888@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1889","resp1889","resp1889","resp1889@example.com","üzlet","LAKOSSÁGI VIGH","Ügyfélszolgálati Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1890","resp1890","resp1890","resp1890@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1891","resp1891","resp1891","resp1891@example.com","gazdálkodás","GAZDASÁGI VIGH","Pénzügyi és Számviteli Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1892","resp1892","resp1892","resp1892@example.com","törzskari","Törzskari FŐIG","Működésfejl. és Szabályozási Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1893","resp1893","resp1893","resp1893@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1894","resp1894","resp1894","resp1894@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp1895","resp1895","resp1895","resp1895@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1896","resp1896","resp1896","resp1896@example.com","gazdálkodás","GAZDASÁGI VIGH","Kontrolling Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1897","resp1897","resp1897","resp1897@example.com","ellenőrzés","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","E","nyugati régió","Üzleti irányítás","Hungarian (formal)"
"resp1898","resp1898","resp1898","resp1898@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","keleti régió","Szolgáltatás","Hungarian (formal)"
"resp1899","resp1899","resp1899","resp1899@example.com","üzlet","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1900","resp1900","resp1900","resp1900@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1901","resp1901","resp1901","resp1901@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp1902","resp1902","resp1902","resp1902@example.com","üzlet","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1903","resp1903","resp1903","resp1903@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1904","resp1904","resp1904","resp1904@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Üzleti irányítás","Hungarian (formal)"
"resp1905","resp1905","resp1905","resp1905@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1906","resp1906","resp1906","resp1906@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1907","resp1907","resp1907","resp1907@example.com","gazdálkodás","GAZDASÁGI VIGH","Forrásallokációs Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1908","resp1908","resp1908","resp1908@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","TL","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1909","resp1909","resp1909","resp1909@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp1910","resp1910","resp1910","resp1910@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp1911","resp1911","resp1911","resp1911@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1912","resp1912","resp1912","resp1912@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp1913","resp1913","resp1913","resp1913@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1914","resp1914","resp1914","resp1914@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1915","resp1915","resp1915","resp1915@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1916","resp1916","resp1916","resp1916@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1917","resp1917","resp1917","resp1917@example.com","gazdálkodás","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1918","resp1918","resp1918","resp1918@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1919","resp1919","resp1919","resp1919@example.com","üzlet","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1920","resp1920","resp1920","resp1920@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1921","resp1921","resp1921","resp1921@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1922","resp1922","resp1922","resp1922@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1923","resp1923","resp1923","resp1923@example.com","HR","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1924","resp1924","resp1924","resp1924@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1925","resp1925","resp1925","resp1925@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1926","resp1926","resp1926","resp1926@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1927","resp1927","resp1927","resp1927@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1928","resp1928","resp1928","resp1928@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1929","resp1929","resp1929","resp1929@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","MM","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1930","resp1930","resp1930","resp1930@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1931","resp1931","resp1931","resp1931@example.com","üzlet","VÁLLALATI VIGH","Kiemelt Ügyfelek Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1932","resp1932","resp1932","resp1932@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. közvetlen","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1933","resp1933","resp1933","resp1933@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1934","resp1934","resp1934","resp1934@example.com","üzlet","LAKOSSÁGI VIGH","Ügyfélszolgálati Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1935","resp1935","resp1935","resp1935@example.com","HR","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1936","resp1936","resp1936","resp1936@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1937","resp1937","resp1937","resp1937@example.com","üzlet","VÁLLALATI VIGH","Csomag Termékmenedzsment Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1938","resp1938","resp1938","resp1938@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1939","resp1939","resp1939","resp1939@example.com","biztonság","-","Biztonsági Főigazgatóság","E","nyugati régió","Szolgáltatás","Hungarian (formal)"
"resp1940","resp1940","resp1940","resp1940@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","MM","központi régió","Végrehajtás","Hungarian (formal)"
"resp1941","resp1941","resp1941","resp1941@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1942","resp1942","resp1942","resp1942@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1943","resp1943","resp1943","resp1943@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1944","resp1944","resp1944","resp1944@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","MM","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1945","resp1945","resp1945","resp1945@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1946","resp1946","resp1946","resp1946@example.com","üzlet","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1947","resp1947","resp1947","resp1947@example.com","gazdálkodás","GAZDASÁGI VIGH","Beszerzési Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1948","resp1948","resp1948","resp1948@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1949","resp1949","resp1949","resp1949@example.com","törzskari","Törzskari FŐIG","Adatmenedzsment és Dok. Kp.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1950","resp1950","resp1950","resp1950@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1951","resp1951","resp1951","resp1951@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1952","resp1952","resp1952","resp1952@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1953","resp1953","resp1953","resp1953@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1954","resp1954","resp1954","resp1954@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1955","resp1955","resp1955","resp1955@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1956","resp1956","resp1956","resp1956@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1957","resp1957","resp1957","resp1957@example.com","IT","-","Informatikai Vezérig-helyettesi ter.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1958","resp1958","resp1958","resp1958@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1959","resp1959","resp1959","resp1959@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1960","resp1960","resp1960","resp1960@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1961","resp1961","resp1961","resp1961@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","MM","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1962","resp1962","resp1962","resp1962@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp1963","resp1963","resp1963","resp1963@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1964","resp1964","resp1964","resp1964@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp1965","resp1965","resp1965","resp1965@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1966","resp1966","resp1966","resp1966@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp1967","resp1967","resp1967","resp1967@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1968","resp1968","resp1968","resp1968@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1969","resp1969","resp1969","resp1969@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1970","resp1970","resp1970","resp1970@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1971","resp1971","resp1971","resp1971@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1972","resp1972","resp1972","resp1972@example.com","ellenőrzés","Ellenőrzési IG","Ellenőrzési Ig. közvetlen","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp1973","resp1973","resp1973","resp1973@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1974","resp1974","resp1974","resp1974@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1975","resp1975","resp1975","resp1975@example.com","hálózat","LAKOSSÁGI VIGH","Hálózati Ig. közvetlen","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp1976","resp1976","resp1976","resp1976@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp1977","resp1977","resp1977","resp1977@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp1978","resp1978","resp1978","resp1978@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp1979","resp1979","resp1979","resp1979@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
